frame,player,team,dx,dy,x,y
0,0,,-0.46073312155297685,-0.03193815387484733,76.01053480692623,57.601425534639894
0,15029,defense,-0.21130125857669668,-0.028120303984913164,87.52729602829126,43.822840431186336
0,9526,defense,-0.21296028102572961,-0.1674915154775931,68.08618941735153,54.02051566204528
0,15031,attack,-0.16852105200347012,0.06261113632896098,90.51382290312247,45.36296987631618
0,13,attack,-0.5445553229055662,-0.14119072822076362,70.21210458118246,41.104791596405256
0,11684,attack,-0.3432589911480193,0.03530406471158187,78.96431966758895,82.0252724908203
0,3681,attack,-0.46073312155297685,-0.03193815387484733,76.01053480692623,57.601425534639894
0,15028,defense,-0.3509871797287616,-0.09515987142777504,89.82002129383608,62.104250419004174
0,913,attack,-0.26634838148910234,-0.3234070977628818,63.839273237313826,79.65985412287246
0,9942,defense,-0.3507891463964654,-0.011315321374212317,76.9090131518591,78.53187895596619
0,2606,defense,0.00045945330489516323,-0.0002918589447915565,10.331994315158092,45.47501044329847
0,15027,defense,-0.32116247176000456,-0.06570867959369764,89.23105457880291,83.20367065108594
0,1849,defense,-0.09138502125522763,-0.08824894118978932,53.359005350996846,38.525714013454774
0,9941,defense,-0.35783953950048897,0.023371942203922913,79.3443340152427,56.99864309773818
0,1847,defense,-0.24484775659149705,-0.3262149845807869,58.84803522319485,81.15501913156022
0,1848,defense,-0.13417117626855202,-0.1506516232707611,51.30318875924099,61.44208252247302
0,15025,attack,-0.23517812911565272,0.006086617472476519,89.35644537408682,66.82616622826416
0,15026,attack,-0.13978426643052444,0.02980018415493646,88.15201189062883,71.93984981804357
0,15030,attack,-0.1266168030770558,0.04537656706268223,85.19823182643324,48.24806957409004
0,12552,attack,-0.21622934888239342,0.018315952916097444,85.47376093294461,62.24028432847486
0,9940,defense,-0.2693711910207668,-0.0021963402171110147,75.38638663677581,47.66822974631222
0,12551,attack,-0.3131327264085826,-0.03899615620009911,85.58480255056737,53.87335275822821
1,11684,attack,-0.3413136881993921,0.03960471423674505,78.62300597938956,82.06487720505704
1,12551,attack,-0.31101963551488154,-0.03858240075291519,85.2737829150525,53.83477035747529
1,15031,attack,-0.16818437070119785,0.060282527138276976,90.34563853242128,45.423252403454455
1,13,attack,-0.5247805538550807,-0.1371497096385994,69.68732402732738,40.96764188676666
1,15025,attack,-0.23318609807728308,0.0056967108173040515,89.12325927600953,66.83186293908146
1,913,attack,-0.26945394121694477,-0.3201049389259225,63.56981929609688,79.33974918394654
1,1848,defense,-0.1351233505287368,-0.14599420751275005,51.16806540871225,61.29608831496027
1,3681,attack,-0.4529792492219542,-0.030623210664700196,75.55755555770428,57.570802323975194
1,15029,defense,-0.21062088177836813,-0.028001165840301212,87.31667514651289,43.794839265346035
1,15028,defense,-0.34724160024120465,-0.09343778370075029,89.47277969359487,62.010812635303424
1,1849,defense,-0.0885986694969958,-0.08356924682166067,53.27040668149985,38.44214476663311
1,2606,defense,0.00024910118940013604,-0.00015823677728832308,10.332243416347492,45.474852206521184
1,9942,defense,-0.35147343219983895,-0.009569921776616752,76.55753971965926,78.52230903418958
1,12552,attack,-0.21622934888239342,0.0181635166986851,85.25753158406222,62.25844784517354
1,15030,attack,-0.126567703720454,0.04448844634807614,85.07166412271279,48.292558020438115
1,0,,-0.4529792492219542,-0.030623210664700196,75.55755555770428,57.570802323975194
1,15026,attack,-0.13976322384911555,0.029236985653000147,88.01224866677971,71.96908680369657
1,1847,defense,-0.24184767324174317,-0.32329167754953403,58.606187549953106,80.83172745401069
1,9526,defense,-0.20973745618351813,-0.17093437249637589,67.87645196116802,53.8495812895489
1,15027,defense,-0.3180201129389957,-0.06486388184085001,88.91303446586392,83.1388067692451
1,9941,defense,-0.3608575395057869,0.024694416371545458,78.98347647573691,57.02333751410973
1,9940,defense,-0.2706245741006654,0.0022443221186705387,75.11576206267515,47.67047406843089
2,3681,attack,-0.44541079147454354,-0.02943691148902161,75.11214476622973,57.54136541248617
2,2606,defense,4.982023788002721e-05,-3.164735547755981e-05,10.332293236585372,45.47482055916571
2,13,attack,-0.5055496359335478,-0.1335610119013424,69.18177439139383,40.834080874865315
2,1847,defense,-0.23891208781071782,-0.3204741546336294,58.36727546214239,80.51125329937706
2,15031,attack,-0.1678507044553612,0.057974771164246874,90.17778782796591,45.4812271746187
2,15028,defense,-0.34352956325649586,-0.09173111765480968,89.12925013033838,61.919081517648614
2,11684,attack,-0.3393852477811379,0.043777647766304995,78.28362073160842,82.10865485282335
